Rk,Name,Age,G,GS,MP,FG,FGA,FGPercent,ThreeP,ThreePA,ThreePPercent,TwoP,TwoPA,TwoPPercent,eFGPercent,FT,FTA,FTPercent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,Season
14,Tony Brown\brownto01,25,10,0,13.2,1.8,4.1,0.439,0,0.2,0,1.8,3.9,0.462,0.439,0.9,1.3,0.692,0.5,1.1,1.6,1.4,0.5,0.1,0.4,1.6,4.5,1985-1986
15,Mike Smrek\smrekmi01,23,38,5,10.7,1.2,3.2,0.377,0,0.1,0,1.2,3.2,0.383,0.377,0.4,0.8,0.552,1.2,1.7,2.9,0.5,0.2,0.6,0.8,2.5,2.8,1985-1986
16,Billy McKinney\mckinbi01,30,9,0,9.2,1.1,2.6,0.435,0,0,,1.1,2.6,0.435,0.435,0.2,0.2,1,0.1,0.4,0.6,1.4,0.3,0,0.2,1,2.4,1985-1986
17,Ron Brewer\brewero01,30,4,0,4.5,0.8,2.3,0.333,0,0,,0.8,2.3,0.333,0.333,0.3,0.3,1,0,0,0,0,0,0,0.5,0.3,1.8,1985-1986
1,Michael Jordan,23,82,82,40,13.4,27.8,0.482,0.1,0.8,0.182,13.2,27,0.491,0.484,10.2,11.9,0.857,2,3.2,5.2,4.6,2.9,1.5,3.3,2.9,37.1,1986-1987
2,Charles Oakley\oaklech01,23,82,81,36.3,5.7,12.8,0.445,0.1,0.4,0.367,5.6,12.5,0.447,0.45,3,4.4,0.686,3.6,9.5,13.1,3.6,1,0.4,3.6,3.8,14.5,1986-1987
3,John Paxson\paxsojo01,26,82,64,32.8,4.7,9.7,0.487,0.6,1.7,0.371,4.1,8,0.511,0.52,1.3,1.6,0.809,0.3,1.4,1.7,5.7,0.8,0.1,1.3,2.5,11.3,1986-1987
4,Gene Banks\banksge01,27,63,39,28.9,4,7.3,0.539,0,0.1,0,4,7.3,0.545,0.539,1.8,2.3,0.767,1.8,3.1,4.9,2.7,0.8,0.3,1.8,2.7,9.7,1986-1987
5,Dave Corzine\corzida01,30,82,39,27.9,3.6,7.5,0.475,0,0.1,0,3.6,7.5,0.479,0.475,1.2,1.6,0.736,2.4,4.2,6.6,2.5,0.5,1.1,1.4,2.5,8.3,1986-1987
6,Earl Cureton\curetea01,29,43,36,25.7,3,6.4,0.467,0,0,0,3,6.4,0.469,0.467,0.9,1.7,0.534,2.6,2.7,5.3,1.6,0.3,0.6,1,2.4,6.9,1986-1987
7,Brad Sellers\sellebr01,24,80,17,21.9,3.5,7.6,0.455,0,0.1,0.2,3.4,7.5,0.46,0.457,1.6,2.2,0.728,1.9,2.7,4.7,1.3,0.6,0.9,1.1,2.4,8.5,1986-1987
8,Sedale Threatt\threase01,25,40,0,19.5,3.3,6.8,0.48,0,0.4,0,3.3,6.4,0.51,0.48,1.3,1.7,0.803,0.2,1.1,1.3,4.4,1.1,0.2,1.1,2.2,7.9,1986-1987
9,Steve Colter\coltest01,24,27,18,17.5,1.8,5.3,0.345,0,0.3,0,1.8,4.9,0.368,0.345,1.2,1.4,0.846,0.3,1.2,1.6,3.5,0.7,0.2,1.2,1.4,4.9,1986-1987
10,Elston Turner\turneel01,27,70,4,13.4,1.6,3.6,0.444,0,0.1,0.125,1.6,3.5,0.455,0.446,0.3,0.4,0.742,0.5,1.2,1.6,1.5,0.4,0.1,0.4,1.4,3.5,1986-1987
11,Mike Brown\brownmi01,23,62,3,13.2,1.7,3.2,0.527,0,0,,1.7,3.2,0.527,0.527,0.7,1.2,0.639,1.1,2.3,3.5,0.4,0.3,0.1,1,2.1,4.2,1986-1987
12,Granville Waiters\waitegr01,26,44,26,12.1,0.9,2.1,0.43,0,0,0,0.9,2.1,0.435,0.43,0.1,0.2,0.556,0.9,1.1,2,0.5,0.2,0.7,0.4,1.9,1.9,1986-1987
13,Ben Poquette\poquebe01,31,21,1,8,1,1.9,0.525,0,0,0,1,1.9,0.538,0.525,0.4,0.5,0.818,0.5,0.7,1.1,0.3,0.1,0.6,0.2,1.2,2.4,1986-1987
14,Darren Daye\dayeda01,26,1,0,7,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,1,2,0,1986-1987
15,Fred Cofield\cofiefr01,25,5,0,5.4,0.4,2.2,0.182,0,0.2,0,0.4,2,0.2,0.182,0,0,,0.2,0.8,1,0.8,0.4,0,0.2,0.2,0.8,1986-1987
16,Pete Myers\myerspe01,23,29,0,5.3,0.7,1.8,0.365,0,0.2,0,0.7,1.6,0.413,0.365,1,1.5,0.651,0.3,0.3,0.6,0.7,0.5,0.1,0.3,0.9,2.3,1986-1987
17,Perry Young\youngpe01,23,5,0,4,0.4,0.8,0.5,0,0,,0.4,0.8,0.5,0.5,0.2,0.4,0.5,0,0.2,0.2,0,0.2,0,0.2,0.6,1,1986-1987
1,Michael Jordan,24,82,82,40.4,13,24.4,0.535,0.1,0.6,0.132,13,23.7,0.546,0.537,8.8,10.5,0.841,1.7,3.8,5.5,5.9,3.2,1.6,3.1,3.3,35,1987-1988
2,Charles Oakley\oaklech01,24,82,82,34.3,4.6,9.5,0.483,0,0.1,0.25,4.5,9.3,0.487,0.485,3.2,4.4,0.727,4,9,13,3,0.8,0.3,2.9,3.3,12.4,1987-1988
3,Sam Vincent\vincesa01,24,29,27,32.9,4.8,10.7,0.447,0.1,0.3,0.375,4.7,10.4,0.449,0.451,3.4,3.7,0.925,0.6,2.9,3.6,8.4,1.2,0.4,2.9,2.8,13,1987-1988
4,Dave Corzine\corzida01,31,80,32,29.1,4.3,8.9,0.481,0,0.1,0.111,4.3,8.8,0.486,0.482,1.4,1.9,0.752,2.1,4.5,6.6,1.9,0.5,1.2,1.4,1.9,10.1,1987-1988
5,Brad Sellers\sellebr01,25,82,76,27,4,8.7,0.457,0,0.1,0.143,4,8.6,0.46,0.457,1.5,1.9,0.79,1.3,1.7,3,1.7,0.4,0.8,1.1,2.1,9.5,1987-1988
6,John Paxson\paxsojo01,27,81,30,23.3,3.5,7.2,0.493,0.4,1.2,0.347,3.1,6,0.522,0.521,0.4,0.6,0.733,0.2,1.1,1.3,3.7,0.6,0,0.8,1.9,7.9,1987-1988
7,Horace Grant\grantho01,22,81,6,22.6,3.1,6.3,0.501,0,0,0,3.1,6.2,0.503,0.501,1.4,2.2,0.626,1.9,3.6,5.5,1.1,0.6,0.7,1.1,2.7,7.7,1987-1988
